marty_obs_no,farm_no,date,month,year,age,year_class,SW_entry_date,num_fish,chalimus,motile_Lep,female_Lep,Caligus,treatment,temp,sal,comments
1053,11,16-Sep,Sep,2005,304,1,16-Nov,720500,0.12,1.2,0.68,0.15,,12,25,
1054,11,16-Oct,Oct,2005,334,1,16-Nov,719000,0.33,2.62,1.18,0.77,,9,25,
1055,11,16-Nov,Nov,2005,365,2,16-Nov,717500,0.53,2.72,1.4,0.07,,8,25,
1056,11,16-Dec,Dec,2005,395,2,16-Nov,716000,0.17,4.38,2.5,0.73,,8,26,
1057,11,16-Jan,Jan,2006,426,2,16-Nov,714500,0.65,5.88,3.47,0.18,1,8,26,
1058,11,16-Feb,Feb,2006,457,2,16-Nov,713500,0.08,1.33,0.42,0,,7,26,
1059,11,16-Mar,Mar,2006,485,2,16-Nov,712735,0,0.28,0.17,0.02,,8,27,
1060,11,16-Apr,Apr,2006,516,2,16-Nov,710837,0,0,0,0,,8,28,
1061,11,16-May,May,2006,546,2,16-Nov,667282,0,0.02,0,0.02,,9,25,
1062,11,16-Jun,Jun,2006,577,2,16-Nov,457784,0.05,0.18,0.1,0.02,,10,23,Harvesting
1063,11,16-Jul,Jul,2006,607,2,16-Nov,385676,0.12,0.08,0.05,0,,11,22,Harvesting
1929,21,16-Sep,Sep,2005,212,1,16-Feb,710033,,,0.87,0.06,,,,fish moved from farm #25
1930,21,16-Oct,Oct,2005,242,1,16-Feb,709621,0.03,1.3,0.87,0.08,,9,21,
1931,21,16-Nov,Nov,2005,273,1,16-Feb,709064,0.17,1.92,1,0.05,,8,29,
1932,21,16-Dec,Dec,2005,303,1,16-Feb,708327,0.23,1.63,1.1,0.15,,7,30,
1933,21,16-Jan,Jan,2006,334,1,16-Feb,707221,0.28,1.82,1.18,0.23,,7,29,
1934,21,16-Feb,Feb,2006,365,2,16-Feb,706322,1.68,5.13,2.62,0.38,1,8,30,
1935,21,16-Mar,Mar,2006,393,2,16-Feb,706249,0.44,1.69,0.68,0.06,,7,30,
1936,21,16-Apr,Apr,2006,424,2,16-Feb,704734,0.35,0.52,0.09,0.03,,8,30,
1937,21,16-May,May,2006,454,2,16-Feb,704251,0.52,0.14,0.11,0.03,,10,27,
1938,21,16-Jun,Jun,2006,485,2,16-Feb,703557,0.2,0.28,0.2,0.04,,11,19,
1939,21,16-Jul,Jul,2006,515,2,16-Feb,665403,0.02,0.17,0.13,0,,12,16,
2049,22,16-Sep,Sep,2005,184,1,16-Mar,568000,0.01,0.04,0.01,0,,9,26,
2050,22,16-Oct,Oct,2005,214,1,16-Mar,680000,0,0.03,0,0,,9,25,some more fish from farm #25
2051,22,16-Nov,Nov,2005,245,1,16-Mar,679500,0.05,0.12,0.01,0.01,,8,28,
2052,22,16-Dec,Dec,2005,275,1,16-Mar,678900,0.13,0.19,0.04,0,,7,31,
2053,22,16-Jan,Jan,2006,306,1,16-Mar,737000,1.83,0.73,0.1,0.27,,7,31,
2054,22,16-Feb,Feb,2006,337,1,16-Mar,737000,2.64,5.35,1.33,0.72,0.5,7,32,Portion farm tx
2055,22,16-Mar,Mar,2006,365,2,16-Mar,734574,1.63,5.52,1.75,0.4,0.5,7,,rest of farm tx
2056,22,16-Apr,Apr,2006,396,2,16-Mar,732408,0.03,0.38,0.06,0.01,,8,,
2057,22,16-May,May,2006,426,2,16-Mar,731943,0.04,0.15,0.07,0.02,,10,,
2058,22,16-Jun,Jun,2006,457,2,16-Mar,731340,0,0.09,0.05,0.01,,11,,
2059,22,16-Jul,Jul,2006,487,2,16-Mar,730886,0,0.08,0.05,0,,11,,
