farm,year,month,day,lice,pen,num_fish
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,2,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,1,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,6,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,1,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,1,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,1,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,1,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,2,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
SP,2005,11,18,0,0,1
