rep,site,site.id,dist,day
1,1,1,-34.43,113
1,2,2,-32.71,112
1,3,3,-30,112
1,4,4,-27.35,112
1,5,5,-24.59,112
1,6,6,-21.87,112
1,7,7,-18.95,112
1,8,8,-15.45,110
1,9,9,-11.91,110
1,10,10,-8.95,110
1,11,11,-6.75,110
1,12,12,-4.83,109
1,13,13,-3.71,110
1,14,14,-2.21,109
1,15,15,0,109
1,16,16,2,109
1,17,17,3.2,109
1,18,18,4.7,107
1,19,19,5.3,107
1,20,20,6.5,107
1,21,21,8.9,107
1,22,22,10.2,107
1,23,23,11.9,105
1,24,24,14.28,104
1,25,25,16.28,104
1,26,26,18.6,104
1,27,27,20.98,105
1,28,28,23.01,105
1,29,29,25.24,103
1,30,30,27.94,103
1,31,31,30.24,102
1,32,32,32.74,102
1,33,33,34.74,105
1,34,34,36.78,102
1,35,35,39.28,101
1,36,36,41.39,101
1,37,37,43.89,101
1,38,38,45.49,100
1,39,39,48.42,101
1,40,40,49.24,100
1,41,41,52.6,100
1,42,42,56.73,100
2,1,43,-40.24,124
2,2,44,-35.91,126
2,3,45,-32.44,124
2,4,46,-28.74,124
2,5,47,-25.55,124
2,6,48,-21.3,124
2,7,49,-18.13,125
2,8,50,-13.42,126
2,9,51,-10.9,125
2,10,52,-8.1,125
2,11,53,-6.4,125
2,12,54,-5.28,125
2,13,55,-1.9,126
2,14,56,0,125
2,15,57,1.5,126
2,16,58,2.8,127
2,17,59,4.11,127
2,18,60,4.88,127
2,19,61,5.5,127
2,20,62,6.98,123
2,21,63,8.88,123
2,22,64,11.08,123
2,23,65,12.78,123
2,24,66,14.28,123
2,25,67,16.48,122
2,26,68,19.88,122
2,27,69,23.64,121
2,28,70,26.11,122
2,29,71,28.05,120
2,30,72,29.73,120
2,31,73,32.58,118
2,32,74,34.81,118
2,33,75,36.84,118
2,34,76,38.86,118
2,35,77,40.89,118
2,36,78,42.84,117
2,37,79,44.44,117
2,38,80,47.37,117
2,39,81,48.19,117
2,40,82,51.55,119
2,41,83,55.68,119
3,1,84,-40.14,141
3,2,85,-36.64,140
3,3,86,-33.5,141
3,4,87,-29.63,140
3,5,88,-26.55,140
3,6,89,-15.55,140
3,7,90,-23.45,142
3,8,91,-9.19,140
3,9,92,-6.49,139
3,10,93,-4.89,139
3,11,94,-3.76,139
3,12,95,-2.06,139
3,13,96,0,139
3,14,97,2,139
3,15,98,3.02,137
3,16,99,4.02,137
3,17,100,4.78,136
3,18,101,5.92,137
3,19,102,6.82,134
3,20,103,8.32,134
3,21,104,10.82,134
3,22,105,13.32,134
3,23,106,15.2,134
3,24,107,17.7,137
3,25,108,19.7,137
3,26,109,23.1,133
3,27,110,25.22,133
3,28,111,30.18,133
3,29,112,31.39,131
3,30,113,33.69,133
3,31,114,35.69,132
3,32,115,38.9,132
3,33,116,41.39,132
3,34,117,43.7,132
3,35,118,45.95,131
3,36,119,47.55,131
3,37,120,50.48,135
3,38,121,51.3,131
3,39,122,54.55,135
3,40,123,56.65,138
3,41,124,58.54,135
3,42,125,61.56,135
3,43,126,63.16,138
3,44,127,64.88,137
3,45,128,67.48,138
