fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
4680,170,2006,10,3,Burdwood,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4681,170,2006,10,3,Burdwood,,chum,40,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4682,170,2006,10,3,Burdwood,,chum,41,,,,,,,,0,,,,,,,,,,,,,,,,,,
4683,170,2006,10,3,Burdwood,,chum,41,,1,2,,,,,0,,,,,,,,,,,,,,,,,,
4684,170,2006,10,3,Burdwood,,chum,42,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4685,170,2006,10,3,Burdwood,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4686,170,2006,10,3,Burdwood,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4687,170,2006,10,3,Burdwood,,chum,42,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4688,170,2006,10,3,Burdwood,,chum,47,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4689,170,2006,10,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4690,170,2006,10,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4691,170,2006,10,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4692,170,2006,10,3,Burdwood,,pink,35,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4693,170,2006,10,3,Burdwood,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4694,170,2006,10,3,Burdwood,,pink,35,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4695,170,2006,10,3,Burdwood,,pink,36,,,,,,,,0,,,,,,,,,,,,,,,,,,
4696,170,2006,10,3,Burdwood,,pink,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4697,170,2006,10,3,Burdwood,,pink,37,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4698,170,2006,10,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4699,170,2006,10,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4700,170,2006,10,3,Burdwood,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4701,170,2006,10,3,Burdwood,,pink,38,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4702,170,2006,10,3,Burdwood,,pink,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4703,170,2006,10,3,Burdwood,,pink,39,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4704,170,2006,10,3,Burdwood,,pink,40,,,,,,,,0,,,,,,,,,,,,,,,,,,
4705,170,2006,10,3,Burdwood,,pink,40,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4706,170,2006,10,3,Burdwood,,pink,41,,1,3,,,,,0,,,,,,,,,,,,,,,,,,
4707,170,2006,10,3,Burdwood,,pink,42,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4708,170,2006,10,3,Burdwood,,pink,44,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4709,171,2006,10,3,Glacier,,chum,30,,,,,,,,0,,,,,,,,,,,,,,,,,,
4710,171,2006,10,3,Glacier,,chum,31,,,,,,,,0,,,,,,,,,,,,,,,,,,
4711,171,2006,10,3,Glacier,,chum,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4712,171,2006,10,3,Glacier,,chum,32,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4713,171,2006,10,3,Glacier,,chum,40,,4,,,,,,0,,,,,,,,,,,,,,,,,,
4714,171,2006,10,3,Glacier,,chum,40,,1,2,,,,,0,,,,,,,,,,,,,,,,,,
4715,171,2006,10,3,Glacier,,chum,41,,,,,,,,0,,,,,,,,,,,,,,,,,,
4716,171,2006,10,3,Glacier,,chum,42,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4717,171,2006,10,3,Glacier,,chum,47,,,,,,,,0,,,,,,,,,,,,,,,,,,
4718,171,2006,10,3,Glacier,,pink,23,,,,,,,,0,,,,,,,,,,,,,,,,,,
4719,171,2006,10,3,Glacier,,pink,24,,,,,,,,0,,,,,,,,,,,,,,,,,,
4720,171,2006,10,3,Glacier,,pink,26,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4721,171,2006,10,3,Glacier,,pink,28,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4722,171,2006,10,3,Glacier,,pink,31,,2,1,,,,,0,,,,,,,,,,,,,,,,,,
4723,171,2006,10,3,Glacier,,pink,32,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4724,171,2006,10,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4725,171,2006,10,3,Glacier,,pink,37,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4726,171,2006,10,3,Glacier,,pink,37,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4727,171,2006,10,3,Glacier,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4728,171,2006,10,3,Glacier,,pink,37,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4729,171,2006,10,3,Glacier,,pink,37,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4730,171,2006,10,3,Glacier,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4731,171,2006,10,3,Glacier,,pink,39,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4732,171,2006,10,3,Glacier,,pink,41,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4733,171,2006,10,3,Glacier,,pink,41,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4734,171,2006,10,3,Glacier,,pink,42,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4735,171,2006,10,3,Glacier,,pink,42,,2,1,,,,,0,,,,,,,,,,,,,,,,,,
4736,171,2006,10,3,Glacier,,pink,42,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4737,171,2006,10,3,Glacier,,pink,43,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4738,172,2006,25,3,Burdwood,,chum,41,,,,,,,,0,,,,,,,,,,,,,,,,,,
4739,172,2006,25,3,Burdwood,,pink,31,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4740,172,2006,25,3,Burdwood,,pink,31,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4741,172,2006,25,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4742,172,2006,25,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4743,172,2006,25,3,Burdwood,,pink,37,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4744,172,2006,25,3,Burdwood,,pink,38,,4,1,,,,,0,,,,,,,,,,,,,,,,,,
4745,172,2006,25,3,Burdwood,,pink,38,,1,4,,,,,0,,,,,,,,,,,,,,,,,,
4746,173,2006,25,3,Glacier,,chum,37,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4747,173,2006,25,3,Glacier,,chum,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4748,173,2006,25,3,Glacier,,chum,40,,2,1,,,,,0,,,,,,,,,,,,,,,,,,
4749,173,2006,25,3,Glacier,,chum,43,,1,,,,,,0,,,,,,,,,,,,,,,,,,
