"","year","day","fry"
"1",2012,53,0
"2",2012,54,0
"3",2012,55,0
"4",2012,56,0
"5",2012,57,0
"6",2012,58,0
"7",2012,60,0
"8",2012,61,0
"9",2012,62,0
"10",2012,63,0
"11",2012,64,0
"12",2012,65,0
"13",2012,66,0
"14",2012,67,0
"15",2012,68,0
"16",2012,69,0
"17",2012,70,0
"18",2012,71,1800
"19",2012,72,1000
"20",2012,73,0
"21",2012,74,17600
"22",2012,75,5800
"23",2012,76,5800
"24",2012,77,14000
"25",2012,78,14800
"26",2012,79,26200
"27",2012,80,34500
"28",2012,81,66100
"29",2012,82,96100
"30",2012,83,106700
"31",2012,84,141200
"32",2012,85,98900
"33",2012,86,420300
"34",2012,87,329400
"35",2012,88,276200
"36",2012,89,180600
"37",2012,90,154100
"38",2012,91,436400
"39",2012,92,110700
"40",2012,94,168300
"41",2012,94,123500
"42",2012,95,155000
"43",2012,96,242200
"44",2012,97,377500
"45",2012,98,268400
"46",2012,99,855200
"47",2012,100,1000700
"48",2012,101,950300
"49",2012,103,1253100
"50",2012,103,1026700
"51",2012,104,811600
"52",2012,105,1159200
"53",2012,106,208000
"54",2012,107,18800
"55",2012,108,381800
"56",2012,110,569900
"57",2012,110,171700
"58",2012,111,121200
"59",2012,113,137700
"60",2012,113,0
"61",2012,115,32200
"62",2012,115,0
"63",2012,116,0
"64",2012,117,0
"65",2012,118,0
"66",2012,119,0
"67",2012,120,0
"68",2012,121,0
"69",2012,122,0
"70",2012,123,0
"71",2012,124,0
"72",2012,125,0
"73",2012,126,0
"74",2012,127,0
"75",2012,129,0
"76",2012,130,0
"77",2012,130,0
"78",2012,132,0
"79",2012,132,0
"80",2011,59,0
"81",2011,70,0
"82",2011,72,0
"83",2011,74,1700
"84",2011,76,0
"85",2011,78,6600
"86",2011,79,17400
"87",2011,80,33700
"88",2011,82,33600
"89",2011,83,92400
"90",2011,85,99100
"91",2011,85,140200
"92",2011,87,150900
"93",2011,89,211200
"94",2011,89,235900
"95",2011,90,0
"96",2011,91,230100
"97",2011,92,284900
"98",2011,94,251700
"99",2011,94,147200
"100",2011,96,152500
"101",2011,96,185300
"102",2011,98,119100
"103",2011,97,152200
"104",2011,99,138200
"105",2011,100,0
"106",2011,101,47200
"107",2011,103,19500
"108",2011,103,38600
"109",2011,104,24700
"110",2011,106,63000
"111",2011,107,35400
"112",2011,108,32400
"113",2011,110,48700
"114",2011,110,15600
"115",2011,111,0
"116",2011,113,45500
"117",2011,114,20500
"118",2011,116,0
"119",2011,118,0
"120",2011,119,0
"121",2011,120,0
"122",2011,121,0
"123",2010,62,11700
"124",2010,63,11600
"125",2010,63,8800
"126",2010,64,16900
"127",2010,65,22200
"128",2010,66,41300
"129",2010,68,32800
"130",2010,69,7900
"131",2010,70,98500
"132",2010,71,84600
"133",2010,73,125600
"134",2010,73,70500
"135",2010,74,172100
"136",2010,75,760300
"137",2010,76,174600
"138",2010,78,439500
"139",2010,79,501300
"140",2010,80,718300
"141",2010,81,437700
"142",2010,82,707000
"143",2010,83,805800
"144",2010,85,1146600
"145",2010,85,1061200
"146",2010,86,640400
"147",2010,87,1418300
"148",2010,88,689600
"149",2010,90,1280400
"150",2010,91,529700
"151",2010,92,669800
"152",2010,93,972000
"153",2010,94,776700
"154",2010,97,245800
"155",2010,97,377600
"156",2010,98,132800
"157",2010,99,322400
"158",2010,101,245200
"159",2010,101,107600
"160",2010,103,132200
"161",2010,103,167800
"162",2010,104,60500
"163",2010,105,104300
"164",2010,106,32700
"165",2010,108,101200
"166",2010,108,2100
"167",2010,110,0
"168",2010,112,0
"169",2010,114,0
"170",2009,74,0
"171",2009,75,0
"172",2009,78,0
"173",2009,78,0
"174",2009,79,0
"175",2009,81,0
"176",2009,83,0
"177",2009,84,5700
"178",2009,86,13800
"179",2009,86,16400
"180",2009,87,30000
"181",2009,89,68300
"182",2009,90,70900
"183",2009,90,62500
"184",2009,91,147600
"185",2009,93,119900
"186",2009,93,147300
"187",2009,94,138900
"188",2009,96,185500
"189",2009,96,237600
"190",2009,97,34000
"191",2009,98,264800
"192",2009,99,193200
"193",2009,101,418400
"194",2009,101,289100
"195",2009,102,310900
"196",2009,103,104600
"197",2009,104,120900
"198",2009,105,148300
"199",2009,107,145400
"200",2009,107,57300
"201",2009,108,57100
"202",2009,110,23900
"203",2009,111,0
"204",2009,114,0
"205",2009,115,0
"206",2008,77,0
"207",2008,79,0
"208",2008,81,41900
"209",2008,82,88500
"210",2008,83,132300
"211",2008,85,112900
"212",2008,85,134700
"213",2008,86,137300
"214",2008,87,164700
"215",2008,89,120500
"216",2008,89,219400
"217",2008,90,238500
"218",2008,91,243800
"219",2008,92,485600
"220",2008,93,251800
"221",2008,94,369800
"222",2008,96,413700
"223",2008,96,243100
"224",2008,97,146700
"225",2008,98,176800
"226",2008,101,107800
"227",2008,101,99400
"228",2008,103,49700
"229",2008,104,60600
"230",2008,105,30200
"231",2008,107,10700
"232",2008,108,16000
"233",2008,108,0
"234",2008,110,0
"235",2008,110,0
"236",2008,112,0
"237",2008,113,0
"238",2007,74,0
"239",2007,79,11900
"240",2007,80,0
"241",2007,81,0
"242",2007,82,33500
"243",2007,83,55300
"244",2007,85,13900
"245",2007,85,24800
"246",2007,86,30100
"247",2007,89,90300
"248",2007,90,90100
"249",2007,90,117500
"250",2007,93,117200
"251",2007,93,141800
"252",2007,94,191100
"253",2007,96,246000
"254",2007,96,116600
"255",2007,97,166000
"256",2007,98,679900
"257",2007,100,129900
"258",2007,100,264500
"259",2007,101,478800
"260",2007,103,607800
"261",2007,103,1465400
"262",2007,104,247400
"263",2007,105,445200
"264",2007,107,247100
"265",2007,107,392700
"266",2007,108,348500
"267",2007,109,155900
"268",2007,110,120000
"269",2007,111,119900
"270",2007,113,18000
"271",2007,114,0
"272",2007,115,0
"273",2007,117,25700
"274",2007,118,25500
"275",2007,119,0
"276",2007,121,0
