ID,year,FullDate,rep,route,site_me,site_num,waypoint,distance,lon,lat,temp,sal
160,2006,2006-04-23,1,Upper Knight,Sallie Pt,1,40,-34.43,125.7699,50.706,8.5,26
161,2006,2006-04-22,1,Upper Knight,1 site W of Sallie Point,2,39,-32.71,125.794,50.7033,9,33
162,2006,2006-04-22,1,Upper Knight,2 sites W of Sallie Point,3,38,-30,125.8324,50.7016,8.5,32
163,2006,2006-04-22,1,Upper Knight,Matsiu Crk logging camp,4,37,-27.35,125.869,50.697,9,31
164,2006,2006-04-22,1,Upper Knight,2 sites E of Hoeya Hd,5,36,-24.59,125.9067,50.6905,8.5,30
165,2006,2006-04-22,1,Upper Knight,1 site E of Hoeya hd,6,35,-21.87,125.9444,50.6854,8,30
166,2006,2006-04-22,1,Upper Knight,Hoeya Head,7,34,-18.95,125.9858,50.6858,8,28
167,2006,2006-04-20,1,Upper Knight,E of Lull Creek,8,32,-15.45,126.0346,50.6912,8,22
168,2006,2006-04-20,1,Upper Knight,W Lull Crk,9,31,-11.91,126.0804,50.6786,8.5,25
169,2006,2006-04-20,1,Upper Knight,Site 30,10,30,-8.95,126.1205,50.6708,8,25
170,2006,2006-04-20,1,Upper Knight,1 Site 29 ,11,29,-6.75,126.1517,50.6708,8,27
171,2006,2006-04-19,1,Upper Knight,Steep Head,12,28,-4.83,126.1786,50.6681,8,30
172,2006,2006-04-20,1,Upper Knight,SE Viscount,13,33,-3.71,126.1942,50.6664,8,27
173,2006,2006-04-19,1,Upper Knight,SW Viscount,14,27,-2.21,126.2088,50.6633,8,31
174,2006,2006-04-19,1,Upper Knight,Shewell,15,26,0,126.2392,50.6586,8,28
175,2006,2006-04-19,1,Tribune,Braza Islet,16,25,2,126.2509,50.6746,8,29
176,2006,2006-04-19,1,Tribune,1 site S of Humphrey Rock,17,24,3.2,126.2617,50.6829,8,30
177,2006,2006-04-17,1,Tribune,Humphrey Rock,18,23,4.7,126.26,50.6965,7,33
178,2006,2006-04-17,1,Tribune,1 site north of Humphrey Rock,19,22,5.3,126.2528,50.6993,8,33
179,2006,2006-04-17,1,Tribune,2 sites N of Humphrey Rck,20,21,6.5,126.2379,50.7044,8,33
180,2006,2006-04-17,1,Tribune,3 sites north of Humphrey Rock,21,20,8.9,126.2274,50.725,7.5,32
181,2006,2006-04-17,1,Tribune,4 sites N of Humphrey Rock,22,19,10.2,126.2088,50.7254,8,30
182,2006,2006-04-15,1,Tribune,S Kumlah Isl,23,18,11.9,126.1867,50.7315,8.5,30
183,2006,2006-04-14,1,Tribune,N Kumlah Isl,24,13,14.28,126.1576,50.7423,8,30
184,2006,2006-04-14,1,Tribune,NW of Trafford Point,25,12,16.28,126.1633,50.76,8,27
185,2006,2006-04-14,1,Tribune,Brown Point,26,,18.6,126.1753,50.7795,8,29
186,2006,2006-04-15,1,Tribune,bwt Brown & Loaf Pt,27,17,20.98,126.196,50.7964,8,27
187,2006,2006-04-15,1,Tribune,Loaf Point,28,15,23.01,126.1995,50.8145,8.5,30
188,2006,2006-04-13,1,Tribune,W of Bond Sound,29,16,25.24,126.2168,50.32,8,30
189,2006,2006-04-13,1,Tribune,Kwatsi Point,30,10,27.94,126.2596,50.8404,8.5,30
190,2006,2006-04-12,1,Tribune,1 site E of Glacier Falls,31,8,30.24,126.2917,50.8453,8.5,31
191,2006,2006-04-12,1,Tribune,Glacier Falls,32,7,32.74,126.3265,50.8499,8.5,31
192,2006,2006-04-15,1,Tribune,1 site W of Glacier,33,14,34.74,126.3515,50.8415,7.9,26
193,2006,2006-04-12,1,Tribune,3 sites E of Eagle Nest Bay,34,6,36.78,126.3757,50.8315,8.5,30
194,2006,2006-04-11,1,Tribune,2 sites E of Eagle Nest Bay,35,5,39.28,126.4102,50.8263,8.5,32
195,2006,2006-04-11,1,Tribune,1 site E of Eagle Nest Bay,36,4,41.39,126.4374,50.8185,9.5,32
196,2006,2006-04-11,1,Tribune,Eagle Nest Bay,37,3,43.89,126.4721,50.8139,9.5,31
197,2006,2006-04-10,1,Tribune,Fry Bay,38,2,45.49,126.4602,50.8016,9,31
198,2006,2006-04-11,1,Tribune,Mid-Burdwoods(NE Denham Isl),39,,48.42,126.4921,50.7893,9,30
199,2006,2006-04-10,1,Tribune,Denham Bay,40,1,49.24,126.5022,50.7856,9,31
200,2006,2006-04-10,1,Tribune,SE corner of Pearse Peninsula,41,,52.6,126.5061,50.8166,8.5,32
201,2006,2006-04-10,1,Tribune,Bay of the Damned,42,,56.73,126.5877,50.7868,9,32
202,2006,2006-05-04,2,Upper Knight,Sallie Pt,1,63,-40.24,125.7193,50.7149,9,26
203,2006,2006-05-06,2,Upper Knight,1 site W of Sallie Point,2,75,-35.91,125.7747,50.706,10,27
204,2006,2006-05-04,2,Upper Knight,2 sites W of Salie Point,3,64,-32.44,125.8233,50.7032,11,28
205,2006,2006-05-04,2,Upper Knight,Matsiu Crk logging camp,4,65,-28.74,125.8747,50.6965,11,27
206,2006,2006-05-04,2,Upper Knight,1 site E of Hoeya Hd,5,66,-25.55,125.9178,50.6881,11,27
207,2006,2006-05-04,2,Upper Knight,Hoeya Head,6,67,-21.3,125.9781,50.6891,11,27
208,2006,2006-05-05,2,Upper Knight,1site W of Hoeya Hd,7,68,-18.13,126.0212,50.6953,11,28
209,2006,2006-05-06,2,Upper Knight,2 sites W of Hoeya Hd,8,74,-13.42,126.0821,50.678,9.5,28
210,2006,2006-05-05,2,Upper Knight,3 sites W of Hoeya Hd,9,69,-10.9,126.1162,50.6713,10,28
211,2006,2006-05-05,2,Upper Knight,4 sites W of Hoeya Hd,10,70,-8.1,126.1559,50.6685,10.5,25
212,2006,2006-05-05,2,Upper Knight,Steep Head,11,71,-6.4,126.1799,50.6674,10,28
213,2006,2006-05-05,2,Upper Knight,SE Viscount,12,72,-5.28,126.1933,50.6663,10.5,30
214,2006,2006-05-06,2,Upper Knight,SW Viscount,13,76,-1.9,126.2235,50.6724,8.75,29
215,2006,2006-05-05,2,Upper Knight,Shewell,14,73,0,126.2392,50.6586,10,28
216,2006,2006-05-06,2,Tribune,Braza Islet,15,77,1.5,126.255,50.6737,10,29
217,2006,2006-05-07,2,Tribune,1 site S of Humphrey Rock,16,81,2.8,126.2621,50.6852,10,28
218,2006,2006-05-07,2,Tribune,Humphrey Rock,17,80,4.11,126.2593,50.6969,10,29
219,2006,2006-05-07,2,Tribune,1 site north of Humphrey Rock,18,79,4.88,126.2497,50.7002,10,30
220,2006,2006-05-07,2,Tribune,2 sites N of Humphrey Rck,19,78,5.5,126.2425,50.7034,10,30
221,2006,2006-05-03,2,Tribune,2 sites S of S Kumlah Isl,20,62,6.98,126.2393,50.7166,10,30
222,2006,2006-05-03,2,Tribune,1 site S of S Kumlah,21,61,8.88,126.2168,50.7262,,28
223,2006,2006-05-03,2,Tribune,S Kumlah Isl,22,60,11.08,126.1811,50.7337,,25
224,2006,2006-05-03,2,Tribune,N Kumlah Isl,23,59,12.78,126.1586,50.7423,,28
225,2006,2006-05-03,2,Tribune,NW of Trafford Point,24,58,14.28,126.1551,50.7565,,28
226,2006,2006-05-02,2,Tribune,Brown Point,25,57,16.48,126.1565,50.7758,,21
227,2006,2006-05-02,2,Tribune,bwt Brown & Loaf Pt,26,56,19.88,126.195,50.794,9,26
228,2006,2006-05-01,2,Tribune,Loaf Point,27,55,23.64,126.1911,50.8272,,28
229,2006,2006-05-02,2,Tribune,W of Bond Sound,28,54,26.11,126.225,50.8329,9,28
230,2006,2006-04-30,2,Tribune,Kwatsi Point,29,,28.05,126.2529,50.8336,8.5,29
231,2006,2006-04-30,2,Tribune,West of Kwatsi Bay,30,,29.73,126.2746,50.8501,8.5,28
232,2006,2006-04-28,2,Tribune,East of Glacier Falls,31,51,32.58,126.3146,50.8476,8,30
233,2006,2006-04-28,2,Tribune,4 sites E of Eagle nest Bay,32,50,34.81,126.3457,50.8433,8,30
234,2006,2006-04-28,2,Tribune,3 sites E of Eagle Nest Bay,33,49,36.84,126.3721,50.8361,8,30
235,2006,2006-04-28,2,Tribune,2 sites E of Eagle Nest Bay,34,48,38.86,126.3974,50.8276,8,30
236,2006,2006-04-28,2,Tribune,1 site E of Eagle Nest Bay,35,47,40.89,126.4256,50.8237,8.25,30
237,2006,2006-04-27,2,Tribune,Eagle Nest Bay,36,46,42.84,126.452,50.8183,8.5,30
238,2006,2006-04-27,2,Tribune,Fry Bay,37,45,44.44,126.4549,50.804,8.5,30
239,2006,2006-04-27,2,Tribune,Mid-Burdwoods(NE Denham Isl),38,44,47.37,126.4895,50.7894,8.5,32
240,2006,2006-04-27,2,Tribune,Denham Bay,39,43,48.19,126.5009,50.788,8.5,32
241,2006,2006-04-29,2,Tribune,Kingfisher Isl,40,52,51.55,126.5373,50.7819,8,29
242,2006,2006-04-29,2,Tribune,Bay of the Damned,41,53,55.68,126.5873,50.778,8.5,29
243,2006,2006-05-21,3,Upper Knight,Sallie Pt ,1,108,-40.14,125.7333,50.7071,12,21
244,2006,2006-05-20,3,Upper Knight,4 sites E of Hoeya Head,2,104,-36.64,125.7833,50.7052,12,23
245,2006,2006-05-21,3,Upper Knight,3 sites E of Hoeya Head,3,106,-33.5,125.8276,50.7037,12,22
246,2006,2006-05-20,3,Upper Knight,2 sites E of Hoeya Head,4,103,-29.63,125.8809,50.6952,11,26
247,2006,2006-05-20,3,Upper Knight,1 site E of Hoeya Head,5,102,-26.55,125.9232,50.689,10.5,27
248,2006,2006-05-20,3,Upper Knight,Hoeya Hd ,6,101,-15.55,125.9927,50.6861,10.5,27
249,2006,2006-05-22,3,Upper Knight,Unknown,7,109,-23.45,,,12,11
250,2006,2006-05-20,3,Upper Knight,2 sites E of Steep Head,8,100,-9.19,126.1179,50.6714,9.5,28
251,2006,2006-05-19,3,Upper Knight,1 site E of Steep Head,9,98,-6.49,126.1559,50.6695,9.5,30
252,2006,2006-05-19,3,Upper Knight,Steep Head,10,97,-4.89,126.1783,50.668,9,29
253,2006,2006-05-19,3,Upper Knight,SE Viscount,11,96,-3.76,126.193,50.6666,9.5,27
254,2006,2006-05-19,3,Upper Knight,SW Viscount,12,95,-2.06,126.2164,50.6638,10.5,31
255,2006,2006-05-19,3,Upper Knight,Shewell,13,,0,126.2392,50.6586,10,29
256,2006,2006-05-19,3,Tribune,Braza islet,14,99,2,126.2543,50.6737,11.5,28
257,2006,2006-05-17,3,Tribune,2 sites S of Humphrey Rock,15,90,3.02,126.2607,50.6819,10.5,30
258,2006,2006-05-17,3,Tribune,1 site S of Humphrey Rock,16,89,4.02,126.2625,50.6908,10,30
259,2006,2006-05-16,3,Tribune,Humphrey Rck,17,88,4.78,126.2589,50.6969,12,30
260,2006,2006-05-17,3,Tribune,1 site N of Humphrey,18,87,5.92,126.2443,50.7015,11,29
261,2006,2006-05-14,3,Tribune,3 sites S of S Kumlah,19,B30,6.82,126.2375,50.7083,9.5,28
262,2006,2006-05-14,3,Tribune,2 sites S of S Kumlah,20,B30,8.32,126.2343,50.7213,9.5,30
263,2006,2006-05-14,3,Tribune,1 site south of S Kumlah,21,B28,10.82,126.1993,50.7261,8.5,27
264,2006,2006-05-14,3,Tribune,S Kumlah,22,B31,13.32,126.1715,50.7401,11,29
265,2006,2006-05-14,3,Tribune,N Kumlah ,23,B32,15.2,126.1565,50.7426,12.5,28
266,2006,2006-05-17,3,Tribune,NW of Trafford Pt ,24,85,17.7,126.1643,50.76,10.5,9
267,2006,2006-05-17,3,Tribune,Brown Point,25,,19.7,126.1658,50.7779,9.5,10
268,2006,2006-05-13,3,Tribune,btw Loaf & Brown Point,26,B38,23.1,126.1986,50.8004,12,28
269,2006,2006-05-13,3,Tribune,Loaf Pt,27,B37,25.22,126.1965,50.82,10,31
270,2006,2006-05-13,3,Tribune,Kwatsi Point,28,B36,30.18,126.2596,50.84,10,30
271,2006,2006-05-11,3,Tribune,2 Sites E of Glacier Falls,29,,31.39,126.2714,50.8521,10,29
272,2006,2006-05-13,3,Tribune,W of Kwatsi Bay,30,B34,33.69,126.2961,50.8446,9.5,26
273,2006,2006-05-12,3,Tribune,E of Glacier Falls,31,33,35.69,126.3232,50.8482,11,29
274,2006,2006-05-12,3,Tribune,3 sites E of EN Bay,32,B32,38.9,126.3656,50.8379,10,30
275,2006,2006-05-12,3,Tribune,2 sites E of EN Bay,33,B31,41.39,126.3971,50.8279,10,27
276,2006,2006-05-12,3,Tribune,1site E of EN Bay,34,B30,43.7,126.4288,50.8225,10,25.5
277,2006,2006-05-11,3,Tribune,Eagle Nest Bay,35,,45.95,126.4584,50.815,10,27
278,2006,2006-05-11,3,Tribune,Fry Bay,36,,47.55,126.4584,50.8018,11,24
279,2006,2006-05-15,3,Tribune,Mid Burdwoods,37,84,50.48,126.4916,50.7893,16,30
280,2006,2006-05-11,3,Tribune,Denham Bay,38,,51.3,126.5023,50.7857,8,32
281,2006,2006-05-15,3,Tribune,kingfisher Island,39,83,54.55,126.5459,50.7811,13,28
282,2006,2006-05-18,3,Tribune,1 site W of Kingfisher,40,91,56.65,126.5744,50.7843,10.8,28
283,2006,2006-05-15,3,Tribune,Bay of the Damned,41,82,58.54,126.5948,50.7879,10.5,30
284,2006,2006-05-15,3,Tribune,Pemberton Point,42,81,61.56,126.6333,50.7886,10.5,32
285,2006,2006-05-18,3,Tribune,1 site W of Pemberton Point,43,92,63.16,126.6558,50.7907,10.5,30
286,2006,2006-05-17,3,Tribune,Bay E of Wicklow,44,93,64.88,126.6904,50.7861,12,31
287,2006,2006-05-18,3,Tribune,Bay W of Wicklow,45,94,67.48,126.7226,50.7715,10.5,32
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
